figure,panel,comparison,n_wells_reference,n_wells_test,fold_change,fold_change_inverse,pooled_sd_log10,residual_df,p_pooled,q_BH,significance,welch_p,welch_df,welch_significance,readout,model,multiplicity
Fig 4b,24h prior,5E5 untreated vs 5E5+PMA,2,2,0.0971,10.3,0.0728,4,0.000155,0.00031,***,0.019173,1.19,*,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4b,in-assay,5E5 untreated vs 5E5+PMA,2,2,0.5092,1.96,0.0735,4,0.01629,0.01629,*,0.201947,1.03,ns,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4c,activated · PMA added at 0 h,0 vs 2 ng/mL,2,2,0.2381,4.2,0.1288,4,0.008407,0.008407,**,0.017255,1.97,*,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4c,activated · PMA added at 0 h,0 vs 10 ng/mL,2,2,0.1103,9.07,0.1288,4,0.001749,0.002623,**,0.024102,1.59,*,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4c,activated · PMA added at 0 h,0 vs 50 ng/mL,2,2,0.0909,11.0,0.1288,4,0.001271,0.002543,**,0.050811,1.32,ns,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4c,activated · PMA added at −48 h,0 vs .08 ng/mL,2,2,0.5001,2.0,0.0607,4,0.007737,0.008407,**,0.097518,1.05,ns,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4c,activated · PMA added at −48 h,0 vs .4 ng/mL,2,2,0.2642,3.79,0.0607,4,0.00068,0.00204,**,0.013726,1.97,*,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
Fig 4c,activated · PMA added at −48 h,0 vs 2 ng/mL,2,2,0.1043,9.59,0.0607,4,8.6e-05,0.000514,***,0.005541,1.99,**,log10 per-well arithmetic mean MSD,"pooled-error OLS, one within-condition variance per subplot",BH within figure panel
