well,dataset,channel,n,dBIC
run2_255_untreated_r3,dox,GFP,37,-34.451691601621164
run2_257_100_r1,dox,GFP,271,-58.73658496258598
run2_257_100_r2,dox,GFP,37,-49.310938113286525
run2_257_100_r3,dox,GFP,34,-44.63298516667273
run2_257_20_r1,dox,GFP,27,-54.117160353543845
run2_257_20_r2,dox,GFP,26,-177.58577403100182
run2_257_20_r3,dox,GFP,44,-50.35747374827626
run2_257_500_r2,dox,GFP,31,-16.92697873648566
run2_257_500_r3,dox,GFP,33,-44.07287228830218
run2_257_untreated_r1,dox,GFP,51,-70.88136973630486
run2_257_untreated_r2,dox,GFP,40,-119.60769702238188
run2_257_untreated_r3,dox,GFP,35,-58.19004839155166
