channel,sigma_bio,ci_lo,ci_hi,median_noise_sd,implied_total_width,n_cells,lag_sec
phase,0.37305070493204634,0.3555145889771303,0.3858290939710295,0.18493142077196906,0.4163729804382554,5127,540
GFP,0.30947326629309,0.2940356548608775,0.32585203229982246,0.34877228790264525,0.46627868422109914,4619,600
